song,listener,score,left_bass,right_bass,left_drums,right_drums,left_other,right_other,left_vocals,right_vocals
Actions - One Minute Smile,L5041,0.17327433201341164,0.08718198007050287,0.08200377006863876,0.13450004006820335,0.17548327329970456,0.23161512860811145,0.2393057906294105,0.2358194437751091,0.20028522958761247
Actions - One Minute Smile,L5011,0.17299580872362968,0.087812975670991,0.06616861768746407,0.1427679505684949,0.1548337586769178,0.23790074684585666,0.2369598692188745,0.23576212916938544,0.22176042195105314
Actions - One Minute Smile,L5014,0.176946166974417,0.09383289133649171,0.0865313316682482,0.1415971913043126,0.14972685235932992,0.22741096539027175,0.2502531157677804,0.24499947799666272,0.22121750997223882
Actions - One Minute Smile,L5062,0.17227794967885676,0.08957826001728317,0.102245523452927,0.14491664974896945,0.1580005838416319,0.22529340723628885,0.23654010898683556,0.225606840412023,0.19604222373489522
Actions - One Minute Smile,L5005,0.17547249979125418,0.08039091780233348,0.07259494330469776,0.1441956810048317,0.15147276856105088,0.2412174618894381,0.25967582285466384,0.23919195271135207,0.21504045020166576
Actions - One Minute Smile,L5045,0.1699992708014461,0.08724548447009708,0.08728038658155782,0.1489993348959119,0.1559901847853845,0.2256794265263497,0.23694390935843535,0.21573432411212695,0.20212111568170565
Alexander Ross - Goodbye Bolero,L5076,0.22342228783743065,0.16509235901176245,0.17297487373114895,0.18670562782970543,0.1856172684374894,0.3036078890557363,0.31240285811811497,0.23090444291513892,0.2300729836003489
Alexander Ross - Goodbye Bolero,L5013,0.24617952794783843,0.18457284026823184,0.18455856841317425,0.17621899416205114,0.18376686313748591,0.35834288615159027,0.37647394882102847,0.25116860501075966,0.25433351761838585
Alexander Ross - Goodbye Bolero,L5085,0.23328477756101712,0.1805923519550096,0.1924469521810559,0.1822048193998591,0.1869591792257326,0.32628667599630945,0.32822263427364984,0.2369847881730167,0.2325808192835037
Alexander Ross - Goodbye Bolero,L5053,0.21462066435038926,0.16598977056838551,0.16107153459427884,0.18777285549321238,0.1892987367563307,0.27665030313158445,0.28322179710536693,0.22500390229908057,0.2279564148548749
Alexander Ross - Goodbye Bolero,L5037,0.23765745545775355,0.17126114519430174,0.17052947798550638,0.17777734363732595,0.19585879264924608,0.35715990564445255,0.33762171598196383,0.2536343667594119,0.23741689580981978
Alexander Ross - Goodbye Bolero,L5043,0.23654612166433744,0.17609146986127389,0.17517917078357115,0.17812127702492891,0.18823343709961232,0.33789421432674677,0.35099520503562764,0.24417389076299728,0.24168030841994148
Alexander Ross - Goodbye Bolero,L5068,0.21477408327231018,0.16118480463308493,0.16494912646001839,0.18892615799864235,0.19405617823101284,0.272317849364637,0.2773694628388175,0.23019347248598068,0.2291956141662879
ANiMAL - Rockshow,L5009,0.1604216545515782,0.08455563179015273,0.08448030984111271,0.1752567388119588,0.1672449736957582,0.15497435222539246,0.1724712104866344,0.20530706859952508,0.2390829509620912
ANiMAL - Rockshow,L5024,0.16149351073795637,0.10452027747120679,0.09274187181405905,0.17636181166292225,0.1709546693711097,0.14855314455636587,0.16229397950005053,0.21058220510401648,0.22594012642392014
ANiMAL - Rockshow,L5042,0.15916345748846827,0.08843703497293404,0.08882806673928605,0.17939486245525343,0.17374022343561604,0.15798909759612434,0.1598478135926618,0.21109502717730866,0.21397553393856178
ANiMAL - Rockshow,L5089,0.15404928479152488,0.09870697945591927,0.08694868271618436,0.18466088229569932,0.18331448454036836,0.14536012486290512,0.15110723508263074,0.1869568325646589,0.195339056813833
ANiMAL - Rockshow,L5051,0.1558958259036436,0.09189774416634408,0.08798660935838891,0.18316424379389734,0.18234453466527423,0.14926622144464932,0.15915622745540475,0.19127572799796527,0.20207529834722485
ANiMAL - Rockshow,L5064,0.15440883441092434,0.08789296684234722,0.08683581965298542,0.17916759833436458,0.17202832502009083,0.15234831549605166,0.15059376019773918,0.199136437327031,0.20726745241678504
Clara Berry And Wooldog - Waltz For My Victims,L5066,0.22815995379575643,0.15154226468032106,0.15106403869590745,0.16741655194607627,0.17185923532864045,0.42330064362657405,0.3620367341624472,0.19786497454702245,0.2001951873790624
Clara Berry And Wooldog - Waltz For My Victims,L5057,0.23211246853144507,0.13749973253338987,0.14719138455915787,0.16815185179787928,0.17794710805776762,0.4771887858664078,0.35097261672681124,0.19875467286287773,0.1991935958472692
Clara Berry And Wooldog - Waltz For My Victims,L5072,0.22404145824957683,0.14841541875976716,0.15567860445530407,0.17182220987839322,0.1673441066757343,0.39148318708403573,0.3599616872767605,0.19643552663759278,0.20119092522902696
Clara Berry And Wooldog - Waltz For My Victims,L5084,0.22202038894802395,0.14275077918779977,0.1458275338714663,0.178929188377993,0.18457767690894678,0.38284394150296686,0.3362944989379059,0.20294280457786423,0.20199668821924893
Clara Berry And Wooldog - Waltz For My Victims,L5065,0.22424048288251416,0.14508903860361272,0.1426436713255897,0.1711766729981716,0.17801007667221866,0.40487531362880813,0.3570612272700179,0.1955841025282086,0.1994837600334862
Clara Berry And Wooldog - Waltz For My Victims,L5047,0.22707198907516157,0.14659389435632958,0.14919534785662839,0.16716527014336616,0.16762292223243996,0.41840862317938654,0.3667914480779554,0.19767311312574526,0.20312529362944143
Fergessen - Nos Palpitants,L5041,0.24789464926677712,0.1530083030007321,0.1384111526721835,0.1807099169468614,0.19930341462975637,0.3738341345671356,0.3452184307841855,0.3353559505752245,0.257315890958138
