song,listener,score,left_bass,right_bass,left_drums,right_drums,left_other,right_other,left_vocals,right_vocals
Actions - One Minute Smile,L5093,0.17683811601703553,0.10260771507996144,0.11495359942564055,0.1452232341420967,0.160420685703417,0.22547141898659212,0.23403084559021559,0.24252999003480286,0.18946743917355796
Actions - One Minute Smile,L5039,0.17510729437580236,0.08191742858357479,0.09295522057741838,0.1523596233455876,0.17392627462763208,0.23340496034058136,0.24088244779944928,0.22535342192498858,0.20005897780718668
Actions - One Minute Smile,L5023,0.17393280533572247,0.08644905960892398,0.09170560222766194,0.14364101658508302,0.14162245037253587,0.23078139122261032,0.24568533149305843,0.22908365265982117,0.22249393851608504
Actions - One Minute Smile,L5063,0.17260540469940877,0.09018137446294153,0.09215741265253759,0.15641301484442505,0.1624387783210893,0.22594297129283247,0.23824157120111022,0.21644444677132496,0.199023668049009
Actions - One Minute Smile,L5019,0.17895627500308914,0.10818517752126816,0.07640767264023449,0.13602986623747304,0.16199533735805255,0.23212901281124096,0.24425667719016775,0.2611446816597158,0.21150177460656017
Actions - One Minute Smile,L5031,0.17257243974849024,0.09534163299845551,0.09130907058334943,0.14095746396029848,0.14112440517121103,0.22270314808791142,0.24520952095569998,0.2275215158000385,0.21641276043095753
Alexander Ross - Goodbye Bolero,L5040,0.2363724298280091,0.16975341034134125,0.17063997652437451,0.18551840143672005,0.196556981412557,0.351370850641716,0.3402228321390282,0.23935041999657874,0.23756656613175692
Alexander Ross - Goodbye Bolero,L5008,0.23611501686695163,0.18047501139070615,0.16460127441499542,0.17242946489016026,0.17882538556902988,0.34796103745876605,0.34774883542861545,0.24568954635296475,0.2511895794303751
Alexander Ross - Goodbye Bolero,L5022,0.2264414698230461,0.15169042734116295,0.1611313550807615,0.18922850923528428,0.1876080170021803,0.32018162713769893,0.3237407221489092,0.24133519141943477,0.23661590921893694
Alexander Ross - Goodbye Bolero,L5086,0.22637675305944827,0.17311892783030805,0.1758629844302742,0.19130801505443124,0.1964533460121316,0.30666369615936806,0.30797856953794084,0.23050824177584775,0.22912024367528447
Alexander Ross - Goodbye Bolero,L5027,0.22674926731615697,0.15037958914300806,0.16330359004605036,0.18197372381129862,0.18504742191268556,0.337729416930883,0.3209139276147215,0.23993272693910858,0.2347137421315001
Alexander Ross - Goodbye Bolero,L5091,0.22551801083686526,0.17339830170064435,0.17172709392492963,0.19243432395145693,0.19707931994075267,0.30242612476374886,0.3090330792490794,0.22896641494606457,0.22907942821824567
Alexander Ross - Goodbye Bolero,L5092,0.22540717868474597,0.1761892542505753,0.1706899082924341,0.19010840937096987,0.1950855016889126,0.3104283334988735,0.3052714100098946,0.22745593711561168,0.2280286752506961
ANiMAL - Rockshow,L5018,0.16138627234245934,0.08512650677173822,0.09306843228087779,0.17953042080740395,0.16915329045281163,0.15263552036457545,0.16794736559521012,0.2140770802365486,0.22955156223050904
ANiMAL - Rockshow,L5020,0.16088968624141914,0.07394703479019293,0.08217487167783107,0.17266242581004668,0.1747878843109838,0.1764183914446309,0.17137890209601314,0.22134580851681246,0.21440217128484235
ANiMAL - Rockshow,L5001,0.15973011870423381,0.0743581740967936,0.04402505571613289,0.17695905756646063,0.16097857894989576,0.17754546455356096,0.19273012682310453,0.212011300012577,0.23923319191534528
ANiMAL - Rockshow,L5007,0.1644838520448011,0.08798802278606316,0.07256866074072507,0.1823340477507151,0.17051698047786917,0.16289700113330433,0.17699375574933252,0.22334548764937778,0.23922686007102167
ANiMAL - Rockshow,L5048,0.15767797408044643,0.0872104265336082,0.08948861670834865,0.1813574535347488,0.17441737760164228,0.15089356709677923,0.15773504395097204,0.20608516041218644,0.2142361468052856
ANiMAL - Rockshow,L5000,0.16660856479545294,0.08620938393700536,0.10195632845426968,0.17931157904919945,0.1662648033645272,0.14632967147656492,0.19309741189414684,0.20453137999761795,0.255167960190292
Clara Berry And Wooldog - Waltz For My Victims,L5079,0.2168790579661571,0.144871058078901,0.1472646361789463,0.17599080137143447,0.17614170026544845,0.3519704621717805,0.3464793842513457,0.19357476339537685,0.1987396580160235
Clara Berry And Wooldog - Waltz For My Victims,L5029,0.2496676230457548,0.18285166783602658,0.15488502499323703,0.1621418028446109,0.1678693690839779,0.4836536306734318,0.4321442722329241,0.20844838094028387,0.20534683576154644
Clara Berry And Wooldog - Waltz For My Victims,L5055,0.24219937793086205,0.13000997049130958,0.1468442496304188,0.16966145712223094,0.17298799109997565,0.5679310174351637,0.3465959430531049,0.20395681743125263,0.19960757718344005
