song,listener,score,left_bass,right_bass,left_drums,right_drums,left_other,right_other,left_vocals,right_vocals
Actions - One Minute Smile,L5076,0.1716230024830079,0.0997129540391699,0.0953557505710631,0.1544665363811304,0.1531872343367437,0.2202309649867782,0.2362684250571996,0.2103426948195436,0.2034194596724347
Actions - One Minute Smile,L5013,0.176798207580606,0.0933810006700435,0.096427698817803,0.1369093259912118,0.1369339954215865,0.2283523909791242,0.2453342524966824,0.2474262442849555,0.2296207519834414
Actions - One Minute Smile,L5085,0.1746119088521521,0.1024819899674663,0.1184221224751912,0.1450423764689129,0.153915648216709,0.220928630209376,0.2339577835526468,0.2186581826088261,0.2034885373180882
Actions - One Minute Smile,L5053,0.1708679068946576,0.0958071750570321,0.0846514759900145,0.1572650934129811,0.1621137610298845,0.2198147840246408,0.2327841030456911,0.208328803904701,0.2061780586923153
Actions - One Minute Smile,L5037,0.17617415934514,0.0925398057834568,0.0873295692095775,0.1408015081406802,0.153140729451412,0.2347599305040963,0.2414822032608815,0.2511256334737188,0.2082138949372966
Actions - One Minute Smile,L5043,0.1718776794947012,0.0901236602104616,0.0921234990425811,0.1380340447558278,0.1425592807955784,0.2270769506493071,0.2427397686074627,0.2295518150762866,0.2128124168201042
Actions - One Minute Smile,L5068,0.1713763265068308,0.0922365753138762,0.0914095299431955,0.1596424051910402,0.1704692794997735,0.2201160136137275,0.2344293402787622,0.2089768022023698,0.1937306660119011
Alexander Ross - Goodbye Bolero,L5009,0.2421294896328268,0.1768504070118977,0.1898783111247599,0.1753618955458524,0.1809477920259719,0.3299042048082609,0.380410367650262,0.2395545916052768,0.2641283472903324
Alexander Ross - Goodbye Bolero,L5024,0.2426338830793832,0.2031156832309744,0.1992882696765466,0.170669663612877,0.1737208192027906,0.3326152912706279,0.3699076272810495,0.2415616953077251,0.2501920150524744
Alexander Ross - Goodbye Bolero,L5042,0.236874710993156,0.1836558363974523,0.1740253261589719,0.1797661829338258,0.1927130839787459,0.3392613795468286,0.3435251185719164,0.2429650384289745,0.2390857219285323
Alexander Ross - Goodbye Bolero,L5089,0.2179595150893348,0.1602658847036444,0.1688713601468891,0.1929574446759201,0.1912388479056753,0.2874069936062357,0.2909219846683332,0.2269506703890281,0.2250629346189526
Alexander Ross - Goodbye Bolero,L5051,0.2222955425007017,0.1608243075395622,0.1616912477380039,0.18994944665202,0.1898768574176225,0.3057623589274603,0.3068917045269578,0.2318194844180657,0.2315489327859216
Alexander Ross - Goodbye Bolero,L5064,0.2327995918249273,0.1769784679775247,0.1884944898846975,0.1823932680560648,0.1865691357947312,0.3209074485261601,0.3326211899490768,0.2369893198381042,0.2374434145730588
ANiMAL - Rockshow,L5066,0.1527986819537097,0.0832500528607748,0.0822882975477583,0.1787265210155444,0.1750968981342333,0.1500067573450971,0.1527929181663048,0.1988231287711209,0.2014048817888438
ANiMAL - Rockshow,L5057,0.1609179554399785,0.0908363734496614,0.0866403148202761,0.1812402754631676,0.1773330140660699,0.1677664974999819,0.1580202544606486,0.2193702049459329,0.2061367088140898
ANiMAL - Rockshow,L5072,0.1524978182169194,0.0860736645908267,0.084786986220662,0.1811371721918462,0.1763832569371324,0.1479574710049275,0.1501849192459042,0.1934410173731237,0.2000180581709321
ANiMAL - Rockshow,L5084,0.16025913111666,0.100493234019158,0.09770812357669,0.1928243152367311,0.1787934774256132,0.1538568617322747,0.1553450395133385,0.1987981927990612,0.2042538046304132
ANiMAL - Rockshow,L5065,0.1560472574672473,0.0898703395593872,0.0907610542958901,0.1790669421504968,0.1777811550712021,0.1546518725446801,0.1565082184622374,0.1977402477935294,0.2019982298605548
ANiMAL - Rockshow,L5047,0.1581102496166756,0.0947118776401952,0.093678943008376,0.1850932968981496,0.1778661157051825,0.1517663641617301,0.1588990900347521,0.1979788067076287,0.2048875027773903
Clara Berry And Wooldog - Waltz For My Victims,L5041,0.2363793864392238,0.1519174501370556,0.1390698298398809,0.1658302944402395,0.1771682561194804,0.4964631898458549,0.3577798327047096,0.2026121670633712,0.2001940713631979
